category_id,category_name,incidence_rate,category_length_seconds,respondents_exposed,n_versions,versions,qualified_p5,qualified_mean,qualified_p95,qualified_simulated,p_month_at_least_200,p_annual_2400
1,Fertility or IVF service,0.0956208426,164.50458002043888,2340,33,v02|v04|v07|v08|v10|v11|v13|v15|v16|v18|v19|v23|v24|v25|v26|v27|v31|v32|v33|v35|v40|v41|v44|v46|v47|v48|v49|v54|v56|v60|v63|v67|v76,201,223.8,247,223.2,0.9577,1.0
2,Big and Tall Men's Clothing,0.131231474,69.826299471315,1701,28,v01|v05|v09|v10|v12|v17|v19|v20|v23|v24|v28|v31|v33|v37|v41|v42|v43|v44|v45|v56|v57|v60|v63|v66|v68|v71|v72|v73,201,223.2,246,221.6,0.9574,1.0
4,Self Tan (Female Only),0.1910958904,115.92800450278446,1163,14,v01|v02|v04|v05|v11|v14|v22|v24|v39|v46|v48|v51|v52|v65,200,222.2,244,221.9,0.9565,1.0
5,Baby Feeding,0.1984507562,166.23116849921644,1121,14,v01|v07|v10|v13|v14|v15|v16|v32|v36|v39|v40|v57|v61|v71,201,222.5,245,223.0,0.9587,1.0
6,Baby products,0.1881326353,60.25228965561837,1182,18,v04|v13|v14|v20|v23|v25|v27|v28|v29|v30|v34|v35|v39|v54|v56|v61|v70|v72,200,222.4,245,222.7,0.9571,1.0
7,Online Healthcare,0.226758485,164.7584527451545,978,14,v06|v07|v10|v17|v24|v28|v29|v30|v37|v38|v45|v53|v69|v70,200,221.8,243,221.7,0.9568,1.0
8,Funeral Services,0.2738589212,171.70129029080272,808,11,v11|v13|v16|v21|v23|v26|v28|v41|v45|v48|v68,201,221.3,242,220.7,0.9582,1.0
9,Car Finance,0.2340532396,129.11966887302697,947,12,v01|v09|v12|v18|v21|v23|v34|v36|v37|v42|v61|v64,200,221.6,243,221.8,0.9567,1.0
10,Designer Women's Clothing,0.251552795,124.36710658483207,880,12,v01|v03|v08|v10|v20|v27|v36|v38|v50|v70|v72|v74,200,221.4,243,221.5,0.9565,1.0
11,Nappies & wipes,0.2446642374,39.26794057013467,907,14,v02|v08|v09|v11|v12|v24|v26|v50|v51|v53|v56|v57|v68|v70,201,221.9,243,222.2,0.9595,1.0
12,Car Rental,0.2695356738,60.89618623489514,822,13,v02|v03|v06|v11|v17|v34|v36|v55|v56|v60|v71|v73|v76,201,221.6,243,221.9,0.9597,1.0
13,Accounting Services (Sole Traders),0.2417112299,56.48351287934929,916,17,v03|v05|v06|v13|v19|v21|v32|v43|v45|v51|v52|v56|v64|v69|v73|v74|v76,200,221.4,243,220.2,0.9558,1.0
14,Weight-loss,0.2319189971,133.05342699866742,957,12,v01|v03|v09|v20|v29|v31|v32|v35|v40|v47|v49|v52,201,221.9,244,221.5,0.9585,1.0
15,Dark Spirits,0.301933874,87.61555773206055,734,13,v08|v12|v14|v23|v26|v29|v31|v46|v59|v63|v72|v73|v76,201,221.6,242,221.6,0.9633,1.0
16,Fresh Coffee,0.3212079616,145.47621299978346,687,11,v11|v18|v22|v23|v29|v32|v34|v43|v53|v60|v74,201,220.7,241,220.1,0.9591,1.0
17,Craft Beer,0.3127572016,104.65488631278276,706,12,v01|v06|v16|v27|v28|v35|v47|v58|v59|v60|v62|v73,201,220.8,241,219.8,0.9591,1.0
18,Car & Motorhome Rentals,0.3110285006,137.64277623966336,709,12,v05|v12|v18|v19|v29|v30|v36|v51|v55|v62|v65|v66,200,220.5,241,220.4,0.9569,1.0
19,Men's Online Health Providers,0.3049267643,178.78591422457248,723,11,v02|v10|v15|v30|v33|v34|v35|v52|v57|v58|v76,200,220.5,241,219.5,0.9558,1.0
20,Vocational Training,0.3130742049,87.00527691515163,705,11,v04|v15|v19|v26|v28|v32|v38|v46|v50|v55|v61,201,220.7,241,220.6,0.9585,1.0
