version_id,respondents,n_qualifiers,expected_interview_seconds,clusters,categories
v01,172,10,289.6,alcohol|baby|bnpl|car_ownership|skincare|womens_fashion,"Big and Tall Men's Clothing|Self Tan (Female Only)|Baby Feeding|Car Finance|Designer Women's Clothing|Weight-loss|Craft Beer|Buy Now Pay Later (Gimmie)|Children's Television|Chips, Crisps, Crackers"
v02,162,10,412.0,baby|skincare|vehicle_rental|womens_fashion,Fertility or IVF service|Self Tan (Female Only)|Nappies & wipes|Car Rental|Men's Online Health Providers|Luxury Leather Bags/Accessories|Men's Clothing (Male Only)|Skincare (Female Only)|Female Fashion|Kitchenware Retailers
v03,138,10,409.2,bnpl|investing|outdoor|vehicle_rental|womens_fashion,"Designer Women's Clothing|Car Rental|Accounting Services (Sole Traders)|Weight-loss|Buy Now Pay Later (Laybuy)|Recruitment|Women's Activewear (Female Only)|Shares, funds, and term deposits|Camping Equipments|Prescription Eyewear"
v04,130,10,425.9,baby|investing|outdoor|skincare,"Fertility or IVF service|Self Tan (Female Only)|Baby products|Vocational Training|Period Products|Shares, funds, and term deposits|Female Skincare|Outdoor Pursuits Apparel|Nutrition & Fitness Services|Coffee"
v05,129,10,406.4,alcohol|baby|confectionery|skincare|vehicle_rental,Big and Tall Men's Clothing|Self Tan (Female Only)|Accounting Services (Sole Traders)|Car & Motorhome Rentals|Baby and Child Products|White Spirits|Free-from Baked Goods|Skincare (Female Only)|Blinds & Window Furnishings|Chocolate confectionery
v06,127,10,420.5,alcohol|car_ownership|vehicle_rental,"Online Healthcare|Car Rental|Accounting Services (Sole Traders)|Craft Beer|Car Modifications|Online Betting Services|Beddings|Natural Health Supplements|Nutrition & Fitness Services|Mattresses, beds, and pillows"
v07,125,10,358.7,alcohol|baby|outdoor,Fertility or IVF service|Baby Feeding|Online Healthcare|Luxury Leather Bags/Accessories|Pre-mixed alcoholic drinks/RTDs|Meal Kit Delivery Service|Recruitment|Alcohol Free Beer|Camping Equipments|Blinds & Window Furnishings
v08,123,10,430.3,alcohol|baby|confectionery|outdoor|skincare|womens_fashion,Fertility or IVF service|Designer Women's Clothing|Nappies & wipes|Dark Spirits|Online Betting Services|Meal Kit Delivery Service|Female Clothing (Black Pepper)|Outdoor Apparel|Suncare|Chocolate confectionery
v09,123,10,401.6,baby|car_ownership|outdoor|skincare,Big and Tall Men's Clothing|Car Finance|Nappies & wipes|Weight-loss|Baby and Child Products|Recruitment|Female Skincare|Outdoor Pursuits Apparel|Healthy Snacks|Car Insurance
v10,120,10,414.5,baby|outdoor|womens_fashion,"Fertility or IVF service|Big and Tall Men's Clothing|Baby Feeding|Online Healthcare|Designer Women's Clothing|Men's Online Health Providers|Period Products|Natural Health Supplements|Camping Equipments|Massage, beauty and Wellness Services"
v11,117,10,391.4,alcohol|baby|skincare|vehicle_rental,Fertility or IVF service|Self Tan (Female Only)|Funeral Services|Nappies & wipes|Car Rental|Fresh Coffee|Pre-mixed alcoholic drinks/RTDs|Female Skincare|Real Estate Service|Health & Beauty Retailers
v12,115,10,411.6,alcohol|baby|car_ownership|confectionery|vehicle_rental,"Big and Tall Men's Clothing|Car Finance|Nappies & wipes|Dark Spirits|Car & Motorhome Rentals|Men's Clothing (Male Only)|Alcohol Free Beer|Nutrition & Fitness Services|Massage, beauty and Wellness Services|Chocolate bars and blocks"
v13,113,10,406.2,baby|bnpl|skincare|womens_fashion,"Fertility or IVF service|Baby Feeding|Baby products|Funeral Services|Accounting Services (Sole Traders)|Online Betting Services|Buy Now Pay Later (Gimmie)|Skincare|Female Fashion|Massage, beauty and Wellness Services"
v14,110,10,425.1,alcohol|baby|car_ownership|investing|skincare,"Self Tan (Female Only)|Baby Feeding|Baby products|Dark Spirits|Car Modifications|Shares, brokers, and trading apps/website|Recruitment|White Spirits|Suncare|Breakfast or Health Foods"
v15,104,10,411.3,alcohol|baby|car_ownership|skincare,Fertility or IVF service|Baby Feeding|Men's Online Health Providers|Vocational Training|Car Modifications|Baby and Child Products|Alcohol Free Beer|Beddings|Female Skincare|Umbrellas
v16,104,10,419.5,alcohol|baby|investing,"Fertility or IVF service|Baby Feeding|Funeral Services|Craft Beer|Men's Clothing (Male Only)|Shares, funds, and term deposits|White Spirits|Dog Food|Peanut or Nut Butter|Floor Cleaning Appliances"
v17,96,10,428.2,alcohol|car_ownership|outdoor|skincare|vehicle_rental,Big and Tall Men's Clothing|Online Healthcare|Car Rental|Car Modifications|Alcohol Free Beer|Skincare|Outdoor Pursuits Apparel|Mental Performance Supplements|Umbrellas|Eco Products
v18,94,10,420.2,baby|bnpl|car_ownership|investing|outdoor|vehicle_rental,"Fertility or IVF service|Car Finance|Fresh Coffee|Car & Motorhome Rentals|Baby and Child Products|Shares, brokers, and trading apps/website|Buy Now Pay Later (Gimmie)|Beddings|Camping Equipments|Wealth Management"
v19,94,10,413.1,bnpl|car_ownership|vehicle_rental,Fertility or IVF service|Big and Tall Men's Clothing|Accounting Services (Sole Traders)|Car & Motorhome Rentals|Vocational Training|Buy Now Pay Later (Laybuy)|Dog Food|Real Estate Service|Car Insurance|Fast Food
v20,94,10,425.2,baby|car_ownership|confectionery|investing|womens_fashion,Big and Tall Men's Clothing|Baby products|Designer Women's Clothing|Weight-loss|Period Products|Car Modifications|Men's Clothing (Male Only)|Meal Kit Delivery Service|Sugar confectionery|Wealth Management
v21,90,10,395.7,baby|car_ownership,Funeral Services|Car Finance|Accounting Services (Sole Traders)|Period Products|Car Modifications|Baby and Child Products|Luxury Leather Bags/Accessories|Dog Food|Real Estate Service|Coffee
v22,90,10,429.3,alcohol|skincare,Self Tan (Female Only)|Fresh Coffee|Luxury Leather Bags/Accessories|Alcohol Free Drinks|Men's Clothing (Male Only)|Meal Kit Delivery Service|White Spirits|Skincare|Children's Television|Breakfast or Health Foods
v23,90,10,419.8,alcohol|baby|bnpl|car_ownership|confectionery|investing,"Fertility or IVF service|Big and Tall Men's Clothing|Baby products|Funeral Services|Car Finance|Dark Spirits|Fresh Coffee|Buy Now Pay Later (Laybuy)|Shares, funds, and term deposits|Chocolate"
v24,89,10,430.3,baby|confectionery|investing|skincare,"Fertility or IVF service|Big and Tall Men's Clothing|Self Tan (Female Only)|Online Healthcare|Nappies & wipes|Shares, funds, and term deposits|Skincare|Indoor & Outdoor Cleaners|Chocolate|Chocolate bars and blocks"
