version_id,gender,age,region,respondents
v01,Male,18-24,Auckland,4
v01,Male,18-24,Rest of North Is.,1
v01,Male,18-24,Rest of South Is.,1
v01,Male,25-34,Auckland,6
v01,Male,25-34,Wellington,3
v01,Male,25-34,Rest of North Is.,2
v01,Male,25-34,Canterbury,4
v01,Male,25-34,Rest of South Is.,3
v01,Male,35-44,Auckland,6
v01,Male,35-44,Wellington,3
v01,Male,35-44,Rest of North Is.,3
v01,Male,35-44,Canterbury,2
v01,Male,35-44,Rest of South Is.,2
v01,Male,45-54,Auckland,3
v01,Male,45-54,Wellington,3
v01,Male,45-54,Rest of North Is.,5
v01,Male,45-54,Rest of South Is.,4
v01,Male,55-64,Auckland,3
v01,Male,55-64,Rest of North Is.,7
v01,Male,55-64,Rest of South Is.,2
v01,Male,65+,Auckland,3
v01,Male,65+,Wellington,2
v01,Male,65+,Rest of North Is.,5
v01,Male,65+,Canterbury,3
v01,Male,65+,Rest of South Is.,4
v01,Female,18-24,Auckland,3
v01,Female,18-24,Wellington,3
v01,Female,18-24,Rest of North Is.,5
v01,Female,18-24,Canterbury,4
v01,Female,18-24,Rest of South Is.,1
v01,Female,25-34,Auckland,5
v01,Female,25-34,Wellington,2
v01,Female,25-34,Canterbury,1
v01,Female,25-34,Rest of South Is.,5
v01,Female,35-44,Auckland,6
v01,Female,35-44,Wellington,2
v01,Female,35-44,Rest of North Is.,1
v01,Female,35-44,Rest of South Is.,4
v01,Female,45-54,Auckland,4
v01,Female,45-54,Rest of North Is.,5
v01,Female,45-54,Canterbury,4
v01,Female,45-54,Rest of South Is.,2
v01,Female,55-64,Auckland,6
v01,Female,55-64,Rest of North Is.,6
v01,Female,55-64,Canterbury,4
v01,Female,65+,Auckland,11
v01,Female,65+,Rest of North Is.,3
v01,Female,65+,Canterbury,1
v02,Male,18-24,Auckland,5
v02,Male,18-24,Wellington,1
v02,Male,18-24,Rest of North Is.,1
v02,Male,18-24,Canterbury,2
v02,Male,18-24,Rest of South Is.,1
v02,Male,25-34,Auckland,8
v02,Male,25-34,Wellington,3
v02,Male,25-34,Rest of North Is.,1
v02,Male,25-34,Canterbury,6
v02,Male,35-44,Auckland,9
v02,Male,35-44,Wellington,4
v02,Male,35-44,Rest of North Is.,4
v02,Male,35-44,Rest of South Is.,3
v02,Male,45-54,Auckland,1
v02,Male,45-54,Wellington,1
v02,Male,45-54,Rest of North Is.,5
v02,Male,45-54,Rest of South Is.,4
v02,Male,55-64,Auckland,4
v02,Male,55-64,Wellington,1
v02,Male,55-64,Rest of North Is.,3
v02,Male,55-64,Canterbury,2
v02,Male,55-64,Rest of South Is.,1
v02,Male,65+,Auckland,6
v02,Male,65+,Rest of South Is.,4
v02,Female,18-24,Auckland,6
v02,Female,18-24,Rest of North Is.,4
v02,Female,18-24,Rest of South Is.,2
v02,Female,25-34,Auckland,2
v02,Female,25-34,Wellington,1
v02,Female,25-34,Rest of North Is.,4
v02,Female,25-34,Canterbury,2
v02,Female,25-34,Rest of South Is.,1
v02,Female,35-44,Rest of North Is.,4
v02,Female,35-44,Canterbury,3
v02,Female,45-54,Auckland,6
v02,Female,45-54,Rest of North Is.,6
v02,Female,45-54,Canterbury,3
v02,Female,45-54,Rest of South Is.,2
v02,Female,55-64,Auckland,3
v02,Female,55-64,Wellington,2
v02,Female,55-64,Rest of North Is.,3
v02,Female,55-64,Canterbury,1
v02,Female,55-64,Rest of South Is.,4
v02,Female,65+,Auckland,4
v02,Female,65+,Wellington,6
v02,Female,65+,Rest of North Is.,6
v02,Female,65+,Canterbury,2
v02,Female,65+,Rest of South Is.,5
v03,Male,18-24,Auckland,4
v03,Male,18-24,Rest of North Is.,3
v03,Male,18-24,Canterbury,1
v03,Male,25-34,Auckland,2
v03,Male,25-34,Wellington,1
v03,Male,25-34,Rest of North Is.,3
v03,Male,25-34,Canterbury,1
v03,Male,25-34,Rest of South Is.,5
v03,Male,35-44,Auckland,3
v03,Male,35-44,Rest of North Is.,2
v03,Male,35-44,Canterbury,2
v03,Male,35-44,Rest of South Is.,1
v03,Male,45-54,Auckland,6
v03,Male,45-54,Rest of North Is.,8
v03,Male,45-54,Canterbury,3
v03,Male,55-64,Auckland,8
v03,Male,55-64,Wellington,2
v03,Male,55-64,Rest of North Is.,1
v03,Male,55-64,Canterbury,1
v03,Male,55-64,Rest of South Is.,2
v03,Male,65+,Auckland,2
v03,Male,65+,Wellington,2
v03,Male,65+,Rest of North Is.,2
v03,Male,65+,Rest of South Is.,4
v03,Female,18-24,Auckland,6
v03,Female,18-24,Rest of North Is.,3
v03,Female,18-24,Rest of South Is.,2
v03,Female,25-34,Auckland,3
v03,Female,25-34,Wellington,3
v03,Female,25-34,Rest of North Is.,4
v03,Female,25-34,Canterbury,3
v03,Female,35-44,Auckland,3
v03,Female,35-44,Wellington,3
v03,Female,35-44,Rest of North Is.,3
v03,Female,35-44,Rest of South Is.,7
v03,Female,45-54,Auckland,2
v03,Female,45-54,Wellington,1
v03,Female,45-54,Rest of North Is.,2
v03,Female,45-54,Canterbury,1
v03,Female,45-54,Rest of South Is.,1
v03,Female,55-64,Rest of North Is.,2
v03,Female,55-64,Canterbury,2
v03,Female,55-64,Rest of South Is.,2
v03,Female,65+,Auckland,8
v03,Female,65+,Wellington,3
v03,Female,65+,Rest of North Is.,2
v03,Female,65+,Canterbury,3
v04,Male,18-24,Auckland,2
v04,Male,18-24,Wellington,1
v04,Male,18-24,Rest of North Is.,2
v04,Male,18-24,Canterbury,1
v04,Male,18-24,Rest of South Is.,1
v04,Male,25-34,Auckland,4
v04,Male,25-34,Rest of North Is.,7
v04,Male,35-44,Auckland,3
v04,Male,35-44,Wellington,3
v04,Male,35-44,Rest of North Is.,1
v04,Male,35-44,Canterbury,2
v04,Male,35-44,Rest of South Is.,2
v04,Male,45-54,Auckland,2
v04,Male,45-54,Wellington,3
v04,Male,45-54,Canterbury,2
v04,Male,45-54,Rest of South Is.,3
v04,Male,55-64,Auckland,4
v04,Male,55-64,Wellington,1
